epoch,phase,train_loss,train_acc,val_loss,val_acc
1,head,0.498729,0.7335,0.323901,0.8991
2,head,0.314716,0.8755,0.207052,0.9693
3,finetune,0.222395,0.9217,0.143941,0.9781
4,finetune,0.153965,0.9575,0.125226,0.9649
